"mz","Intensity"
943.4786,32
961.49,619
962.4984,43.04
971.4572,20
1024.5474,16.61
1042.5493,92.54
1060.14,22
1231.1862,4
1473.684,10.57
101.0714,13
104.0527,61
112.0709,8
116.0685,40
143.0829,22
149.0762,12.02
157.0906,21
158.0938,8
161.0916,31
171.0773,19.57
175.1185,10
189.0858,49
205.1002,18
215.1174,16.29
221.0784,7
226.1143,8.305
227.1133,8
228.1267,11.02
230.1173,9.279
240.0959,9
241.0816,9
243.0804,24
244.1326,9.305
245.1214,11.29
257.0937,9
258.1092,25
260.1046,61
262.151,46.64
268.1325,7.287
272.1487,8
274.1227,15
302.1177,70
320.1255,11.02
337.1591,24
341.166,10
342.1401,19.02
354.1605,9.279
359.1669,30.02
364.6891,21
371.1702,10
373.6916,13
376.1922,129
387.1696,9.036
389.1492,35.14
412.1826,11.05
415.2173,9.018
421.6957,9
423.1868,10
430.1878,9.018
439.212,92
447.2069,9
448.191,44.3
455.2279,12
468.1991,14.81
472.244,19
489.2773,209
499.2734,10.08
500.2176,10.76
502.231,7.368
509.2389,8.112
520.2368,5
527.2573,6
531.5646,12
532.776,6.336
532.9439,9
541.2121,11.02
559.2228,6
560.2273,11
572.2569,6
575.3167,5.054
577.2307,32.27
583.2939,8.287
600.3082,45.84
616.323,6.269
617.3057,5.018
618.3212,368
619.3306,5.018
620.2945,7.269
628.3051,9
633.3024,7
662.3239,7.269
672.3007,8
690.316,16.27
692.3624,5.269
694.3141,5.287
704.3135,7.827
711.3542,25.27
720.3584,5
722.3631,4.269
726.3054,4.018
728.3703,36
729.3521,130
730.3422,6.072
736.31,4.538
743.9922,5
745.4083,5.269
746.3774,473
747.3742,15.84
750.3428,3.312
757.3539,5
796.4341,4.269
804.3597,13
814.4349,5
818.428,8.018
824.371,5.279
835.4071,5.269
842.3893,20.32
860.3878,46
860.392,44.02
873.3812,6
877.4175,377
878.4156,12
891.3972,6
899.4308,2
902.4495,5.269
906.3406,2
910.3715,3
916.3193,2
934.404,2
935.3875,4
943.4485,6.269
954.4951,2
978.4681,18
978.4862,20.04
988.4484,13
1001.3966,4.739
1007.5289,2
1029.4637,20.07
1043.5536,3
1047.4897,111.4
1066.5385,10.84
1498.6218,6.269
102.0546,68
143.1184,252
158.095,39
171.1142,521
173.1018,74.23
175.118,120.1
185.1227,31.42
197.1247,57.08
201.0841,102
201.1331,34
215.1398,108
225.1299,71.5
243.1381,134
256.1294,56.08
257.1677,51
266.1177,34.07
272.1596,90.08
274.1888,118.1
284.136,47.25
300.1557,634
301.1774,30.08
312.16,25.16
314.173,141
326.1643,50
342.2024,38.08
349.1582,34
354.1666,102
358.2023,44
367.157,53.08
368.2163,34
372.1843,55
375.234,210
385.2435,160
395.2277,64.24
397.2022,38
411.1784,30.47
413.2397,252.4
415.228,26
425.2032,93.07
429.2133,41.07
440.2469,23.42
443.2183,77
456.2436,22
459.2604,47
459.7462,104.7
466.2251,26.12
471.2335,44
475.2606,34.15
476.2825,443
484.2465,41.47
486.259,43.49
495.2704,84
498.2542,21
503.2972,26
508.2462,38.23
514.2826,64
517.2804,24
524.2676,34
529.306,84.19
530.2971,19.7
535.7971,141.2
542.28,261
543.0718,34
544.256,61.14
547.3193,1368
548.3167,53.3
549.257,9.96
591.2814,21
595.293,20
597.2743,26.16
609.2815,30.47
613.3184,108
615.3375,28.42
632.335,20
640.3497,21
658.3521,166.1
670.3496,21
676.3595,2045
677.3726,26
696.3719,25.08
698.3408,21
703.3598,17.08
708.3524,23.44
714.3605,47
745.4265,30
753.4236,29
771.4426,51
777.3861,25.15
786.9387,26.08
789.4443,1731
790.4535,25.52
797.4047,30
815.4152,37.07
819.3574,29.08
861.5007,16
874.4541,47
882.4276,24.07
882.4661,44.54
896.4643,26
900.4726,209
900.4764,50.07
901.4503,13.08
914.4653,36.51
918.4852,1814
919.4988,25
945.4951,21
953.4996,25
971.5012,32
973.4909,12.07
986.4615,13.08
989.5199,901
990.5301,41.42
999.5198,26
999.5432,21.08
1051.5073,36
1090.6477,21.08
115.0805,25.16
129.1018,21
143.1162,243.5
147.1133,55
171.112,216
185.135,45.07
187.1163,26.08
197.1223,26.12
214.1193,97.22
228.1393,21.08
242.1487,256
244.1125,35
248.1595,95.31
252.1167,23.23
256.1637,52.07
270.1282,24
282.161,24
285.1606,119
286.1328,25.41
298.2093,21.07
299.2025,67.07
311.1641,30.15
313.1892,153
319.1949,111
327.1219,21
327.2051,76
339.1821,33
341.1873,24.32
342.1845,21.11
353.2013,23.27
355.2177,25
356.2179,51.15
357.1772,39.08
367.2446,21.08
369.2471,40.49
370.2009,25
381.1976,19.42
384.223,146
393.2204,25
395.2566,20.07
398.248,72.12
412.2234,20
414.2275,20
423.1936,29.22
426.2715,28
428.2175,20.07
