"mz","Intensity"
659.3542,31.81
669.336,22
681.3889,14.81
686.3734,77.81
687.3373,24.51
697.3226,18.81
728.3367,15.05
730.4438,14
746.3456,12.05
755.3875,12
758.4022,21.05
772.4507,9.807
784.3817,12.34
794.3895,12
800.4144,23
811.4,20
814.4506,17
823.4005,23.81
832.3776,15
850.3984,38.81
909.4481,23
910.4509,23.14
929.4514,21.92
935.5067,21.94
947.4466,6
951.4938,9
963.4741,25.81
970.4215,6
986.5203,40
986.5291,6
1031.5907,12.11
1097.5554,43.1
1114.5081,6
1115.5616,158.2
1228.6548,68
1390.699,608
120.0813,83.11
221.125,25
231.1273,31.61
249.1169,19
357.4049,25
360.6087,25
362.9364,19
401.1925,19
454.2262,58
455.7531,38.78
464.3118,24
464.7585,165
464.9068,61
516.2955,18
558.3362,12
567.3121,41.82
589.3477,12.11
592.2789,19.61
597.3168,12
617.3423,12
620.3536,12
627.4156,24
646.2233,12
680.3944,114
712.4279,12
715.5264,27.4
744.3548,19.72
781.4306,26
785.4215,43
814.4099,12
961.4675,12
1148.6003,20.21
1160.5033,12
183.1075,2
229.2115,3
253.1366,2
266.1824,2
281.1646,2
425.3169,6.279
464.8335,20.02
467.4824,3.018
469.2716,5.019
469.9413,5.297
471.4563,3
906.7397,4.018
909.6463,251
910.6544,9.018
1869.8983,7.036
1901.8838,4.287
187.1409,8
199.1331,25
221.1324,8
229.0836,13.15
296.0985,8
356.1409,8
368.1116,8.001
380.2438,9.076
408.1842,16.14
419.168,8
431.0927,13.08
454.1871,13.08
461.2565,9
469.7835,12
470.7565,9.076
474.2607,12.07
727.4219,8
921.5197,262
922.5237,22
219.1062,13.57
221.1243,14
223.1313,17
225.1951,38
227.1451,10.3
233.1293,13.1
235.1299,19.57
237.1046,25.27
237.1496,18
243.1246,10.31
247.1568,21
249.1338,28
250.1759,42
251.162,32.29
253.1028,24
253.1551,12
263.16,43.3
265.1475,20
267.1346,14.82
271.188,11.27
277.1519,32
279.153,23.27
283.1468,14.27
289.1589,13.29
291.1443,18
293.131,24
293.1781,11
295.194,13.04
305.1461,23
307.1612,29
309.1642,14.28
311.1654,9.547
317.1581,10.27
321.1548,9.305
323.1529,12.55
331.1821,9.269
335.1512,8.538
349.1812,8.547
355.1811,11.27
357.1141,9.269
361.1997,13.84
377.1938,10.56
395.2162,10.27
399.2126,10
405.2198,9.018
413.2151,11.94
415.2383,16.02
423.2447,20.04
431.1405,9.287
441.2683,27
442.2334,16.55
459.2628,73.02
459.3625,51
475.7862,16
476.9984,18.3
497.2718,2
501.182,17.02
521.3122,2.269
525.2452,2
614.3278,2
649.3651,2
704.4299,2
